Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,186,7,Some Random Commen with Id 0
1,0,9,9,7,Some Random Commen with Id 1
2,0,9,160,1,Some Random Commen with Id 2
3,0,9,166,7,Some Random Commen with Id 3
4,0,9,176,5,Some Random Commen with Id 4
5,1,6,17,6,Some Random Commen with Id 5
6,1,6,34,0,Some Random Commen with Id 6
7,2,9,45,1,Some Random Commen with Id 7
8,2,9,50,2,Some Random Commen with Id 8
9,2,9,89,0,Some Random Commen with Id 9
10,2,9,137,8,Some Random Commen with Id 10
11,2,9,5,5,Some Random Commen with Id 11
12,2,9,112,7,Some Random Commen with Id 12
13,2,9,20,9,Some Random Commen with Id 13
14,2,9,120,3,Some Random Commen with Id 14
15,3,7,149,3,Some Random Commen with Id 15
16,4,4,58,1,Some Random Commen with Id 16
17,4,4,116,7,Some Random Commen with Id 17
18,4,4,139,1,Some Random Commen with Id 18
19,4,4,13,0,Some Random Commen with Id 19
20,4,4,35,6,Some Random Commen with Id 20
21,4,4,189,4,Some Random Commen with Id 21
22,4,4,22,9,Some Random Commen with Id 22
23,4,4,39,2,Some Random Commen with Id 23
24,5,7,180,5,Some Random Commen with Id 24
25,5,7,134,8,Some Random Commen with Id 25
26,5,7,118,2,Some Random Commen with Id 26
27,5,7,155,6,Some Random Commen with Id 27
28,5,7,98,3,Some Random Commen with Id 28
29,5,7,122,0,Some Random Commen with Id 29
30,5,7,44,2,Some Random Commen with Id 30
31,5,7,123,2,Some Random Commen with Id 31
32,5,7,21,5,Some Random Commen with Id 32
33,6,5,159,2,Some Random Commen with Id 33
34,6,5,107,6,Some Random Commen with Id 34
35,6,5,49,3,Some Random Commen with Id 35
36,6,5,147,9,Some Random Commen with Id 36
37,6,5,69,3,Some Random Commen with Id 37
38,6,5,3,3,Some Random Commen with Id 38
39,6,5,95,5,Some Random Commen with Id 39
40,6,5,5,0,Some Random Commen with Id 40
41,6,5,145,7,Some Random Commen with Id 41
42,7,1,89,8,Some Random Commen with Id 42
43,7,1,112,1,Some Random Commen with Id 43
44,7,1,124,6,Some Random Commen with Id 44
45,7,1,166,7,Some Random Commen with Id 45
46,7,1,163,9,Some Random Commen with Id 46
47,7,1,66,0,Some Random Commen with Id 47
48,7,1,124,0,Some Random Commen with Id 48
49,7,1,88,7,Some Random Commen with Id 49
50,7,1,140,8,Some Random Commen with Id 50
51,8,1,71,5,Some Random Commen with Id 51
52,9,4,18,4,Some Random Commen with Id 52
53,9,4,193,1,Some Random Commen with Id 53
54,9,4,48,6,Some Random Commen with Id 54
55,9,4,92,3,Some Random Commen with Id 55
56,9,4,33,9,Some Random Commen with Id 56
57,9,4,166,0,Some Random Commen with Id 57
58,9,4,161,8,Some Random Commen with Id 58
59,9,4,89,0,Some Random Commen with Id 59
60,10,2,102,6,Some Random Commen with Id 60
